[11, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[11, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[11, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[3, 2, 1, 0, 4, 5, 6, 7, 8, 9, 10, 11]
[10, 2, 1, 0, 11, 3, 4, 5, 6, 7, 8, 9]
[9, 10, 11, 0, 1, 2, 3, 4, 5, 6, 7, 8]
[0, 4, 3, 2, 1, 5, 6, 7, 8, 9, 10, 11]
[11, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[9, 10, 11, 0, 1, 2, 3, 4, 5, 6, 7, 8]
[3, 2, 1, 0, 4, 5, 6, 7, 8, 9, 10, 11]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0]
[3, 2, 1, 0, 4, 5, 6, 7, 8, 9, 10, 11]
[3, 2, 1, 0, 4, 5, 6, 7, 8, 9, 10, 11]
[9, 10, 11, 0, 1, 2, 3, 4, 5, 6, 7, 8]
[10, 2, 1, 0, 11, 3, 4, 5, 6, 7, 8, 9]
[10, 2, 1, 0, 11, 3, 4, 5, 6, 7, 8, 9]
[1, 0, 11, 3, 4, 5, 6, 7, 8, 9, 10, 2]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0]
[10, 2, 1, 0, 11, 3, 4, 5, 6, 7, 8, 9]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0]
[3, 2, 1, 0, 4, 5, 6, 7, 8, 9, 10, 11]
[10, 2, 1, 0, 11, 3, 4, 5, 6, 7, 8, 9]
[11, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[1, 0, 11, 3, 4, 5, 6, 7, 8, 9, 10, 2]
[3, 4, 5, 1, 2, 6, 7, 8, 9, 10, 11, 0]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0]
[11, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0]
[3, 2, 1, 0, 4, 5, 6, 7, 8, 9, 10, 11]
[3, 2, 1, 0, 4, 5, 6, 7, 8, 9, 10, 11]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0]
[9, 10, 11, 0, 1, 2, 3, 4, 5, 6, 7, 8]
[3, 2, 1, 5, 6, 7, 8, 9, 10, 11, 0, 4]
[1, 0, 4, 5, 6, 7, 8, 9, 10, 11, 3, 2]
[10, 2, 1, 0, 11, 3, 4, 5, 6, 7, 8, 9]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0]
[1, 0, 11, 3, 4, 5, 6, 7, 8, 9, 10, 2]
[11, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[11, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[0, 4, 3, 2, 1, 5, 6, 7, 8, 9, 10, 11]
[1, 2, 3, 11, 0, 4, 5, 6, 7, 8, 9, 10]
[6, 2, 3, 4, 7, 8, 9, 10, 11, 0, 1, 5]
[1, 0, 4, 5, 6, 7, 8, 9, 10, 11, 3, 2]
[10, 11, 3, 2, 1, 0, 4, 5, 6, 7, 8, 9]
[11, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0]
[4, 0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 3]
[3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 1, 2]
