[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
[1, 2, 9, 10, 11, 3, 12, 0, 4, 5, 6, 7, 8]
[6, 1, 0, 4, 7, 8, 9, 10, 11, 12, 3, 2, 5]
[4, 5, 2, 1, 0, 6, 7, 8, 9, 10, 11, 12, 3]
[0, 12, 11, 2, 3, 4, 5, 6, 7, 8, 9, 10, 1]
[12, 11, 10, 2, 1, 0, 4, 5, 6, 7, 8, 9, 3]
[2, 1, 0, 4, 5, 6, 7, 8, 9, 10, 11, 12, 3]
[11, 12, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[2, 1, 0, 6, 7, 8, 9, 10, 11, 12, 3, 4, 5]
[12, 1, 0, 4, 3, 2, 5, 6, 7, 8, 9, 10, 11]
[10, 11, 12, 3, 2, 1, 0, 4, 5, 6, 7, 8, 9]
[11, 12, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[0, 1, 2, 11, 12, 3, 4, 5, 6, 7, 8, 9, 10]
[9, 8, 7, 6, 10, 11, 12, 0, 4, 3, 2, 1, 5]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
[8, 11, 12, 3, 9, 10, 2, 1, 0, 4, 5, 6, 7]
[2, 1, 5, 6, 7, 8, 9, 10, 11, 12, 0, 4, 3]
[6, 5, 1, 3, 4, 0, 7, 8, 9, 10, 11, 12, 2]
[0, 12, 3, 4, 5, 6, 7, 8, 9, 10, 11, 2, 1]
[0, 1, 2, 11, 12, 3, 4, 5, 6, 7, 8, 9, 10]
[2, 11, 10, 9, 1, 0, 12, 3, 4, 5, 6, 7, 8]
[2, 3, 12, 0, 4, 5, 6, 7, 8, 9, 10, 11, 1]
[11, 3, 4, 0, 12, 2, 1, 5, 6, 7, 8, 9, 10]
[7, 12, 3, 9, 8, 11, 10, 4, 0, 1, 2, 5, 6]
[3, 11, 12, 0, 2, 1, 5, 6, 7, 8, 9, 10, 4]
[11, 2, 1, 4, 3, 12, 0, 5, 6, 7, 8, 9, 10]
[0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 3, 4]
[0, 1, 10, 11, 2, 3, 4, 5, 6, 7, 8, 9, 12]
[1, 11, 12, 3, 0, 4, 5, 6, 7, 8, 9, 10, 2]
[2, 11, 12, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]
[0, 1, 10, 11, 2, 3, 4, 5, 6, 7, 8, 9, 12]
[3, 2, 11, 1, 0, 12, 4, 5, 6, 7, 8, 9, 10]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]
[2, 3, 4, 0, 1, 5, 6, 7, 8, 9, 10, 11, 12]
[10, 11, 12, 3, 2, 1, 0, 4, 5, 6, 7, 8, 9]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
[5, 2, 3, 0, 1, 6, 7, 8, 9, 10, 11, 12, 4]
[2, 1, 5, 6, 7, 8, 9, 10, 11, 12, 0, 4, 3]
[12, 0, 4, 10, 11, 3, 2, 1, 5, 6, 7, 8, 9]
[1, 2, 4, 3, 5, 6, 7, 8, 9, 10, 11, 0, 12]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]
[0, 12, 3, 4, 5, 6, 7, 8, 9, 10, 11, 2, 1]
[2, 3, 12, 0, 4, 5, 6, 7, 8, 9, 10, 11, 1]
[4, 3, 2, 1, 5, 6, 7, 8, 9, 10, 11, 12, 0]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]
[0, 5, 6, 7, 8, 9, 10, 11, 12, 1, 2, 3, 4]
[11, 12, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[2, 1, 5, 6, 7, 8, 9, 10, 11, 12, 0, 4, 3]
[10, 11, 2, 12, 3, 4, 5, 6, 7, 8, 9, 1, 0]
[9, 10, 11, 12, 0, 1, 2, 3, 4, 5, 6, 7, 8]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]
[9, 8, 7, 6, 10, 11, 12, 3, 2, 1, 0, 4, 5]
[0, 6, 7, 8, 9, 10, 11, 12, 3, 4, 5, 2, 1]
[2, 11, 12, 3, 4, 5, 6, 7, 8, 9, 10, 0, 1]
[7, 3, 4, 5, 8, 9, 10, 11, 12, 0, 1, 2, 6]
[2, 1, 0, 4, 5, 6, 7, 8, 9, 10, 11, 12, 3]
[12, 3, 2, 1, 0, 4, 5, 6, 7, 8, 9, 10, 11]
[12, 11, 10, 2, 1, 0, 4, 5, 6, 7, 8, 9, 3]
[10, 11, 12, 3, 2, 1, 0, 4, 5, 6, 7, 8, 9]
[8, 4, 3, 7, 9, 10, 11, 12, 0, 1, 2, 5, 6]
[2, 3, 12, 11, 1, 0, 4, 5, 6, 7, 8, 9, 10]
[10, 11, 0, 12, 3, 2, 1, 4, 5, 6, 7, 8, 9]
[3, 4, 0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12]
[8, 7, 6, 5, 9, 10, 11, 12, 0, 1, 2, 3, 4]
[2, 3, 12, 5, 6, 7, 8, 9, 10, 11, 1, 0, 4]
[5, 1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 0, 4]
[5, 4, 3, 12, 6, 7, 8, 9, 10, 11, 2, 1, 0]
[0, 4, 5, 2, 1, 6, 7, 8, 9, 10, 11, 12, 3]
[0, 12, 3, 4, 5, 6, 7, 8, 9, 10, 11, 2, 1]
[2, 1, 5, 6, 7, 8, 9, 10, 11, 12, 0, 4, 3]
[6, 5, 4, 3, 7, 8, 9, 10, 11, 12, 0, 1, 2]
[2, 1, 0, 12, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]
[4, 3, 5, 6, 7, 8, 9, 10, 11, 12, 2, 1, 0]
[6, 7, 3, 4, 8, 9, 10, 11, 12, 0, 1, 2, 5]
[7, 10, 11, 12, 8, 9, 0, 1, 2, 3, 4, 5, 6]
[3, 1, 0, 12, 2, 5, 6, 7, 8, 9, 10, 11, 4]
[6, 5, 2, 1, 7, 8, 9, 10, 11, 12, 3, 4, 0]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
[0, 12, 3, 4, 5, 6, 7, 8, 9, 10, 11, 2, 1]
[1, 5, 4, 3, 2, 6, 7, 8, 9, 10, 11, 12, 0]
[12, 3, 9, 10, 2, 1, 0, 4, 5, 6, 7, 8, 11]
[5, 1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 0, 4]
[3, 7, 6, 5, 4, 8, 9, 10, 11, 12, 0, 1, 2]
[1, 5, 6, 7, 8, 9, 10, 11, 12, 2, 3, 4, 0]
[2, 1, 0, 12, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[4, 3, 2, 6, 7, 8, 9, 10, 11, 12, 0, 1, 5]
[2, 1, 0, 4, 5, 6, 7, 8, 9, 10, 11, 12, 3]
[3, 12, 0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 2]
[12, 1, 0, 4, 3, 2, 5, 6, 7, 8, 9, 10, 11]
[4, 5, 12, 3, 1, 0, 6, 7, 8, 9, 10, 11, 2]
